Time,running_time,keys
21:46:23,2.75,Key.backspace
21:46:26,5.82,d
21:46:26,6.26,s
21:46:26,6.33,a
21:46:28,7.51,d
21:46:28,7.62,s
21:46:28,7.68,a
21:46:29,9.11,Key.backspace
21:46:29,9.28,Key.backspace
21:46:29,9.39,Key.backspace
