Time,running_time,x,y
21:46:20,0.08,968,615
21:46:20,0.09,953,627
21:46:20,0.11,896,652
21:46:20,0.12,812,657
21:46:20,0.14,704,634
21:46:20,0.16,580,583
21:46:20,0.17,471,516
21:46:20,0.19,440,487
21:46:20,0.20,398,433
21:46:20,0.23,385,394
21:46:20,0.25,389,317
21:46:20,0.26,404,301
21:46:20,0.28,438,282
21:46:20,0.29,512,271
21:46:20,0.31,610,272
21:46:20,0.33,745,295
21:46:20,0.36,891,336
21:46:20,0.37,1143,429
21:46:20,0.39,1201,465
21:46:20,0.40,1209,477
21:46:21,0.45,1198,487
21:46:21,0.53,1222,468
21:46:21,0.55,1257,449
21:46:21,0.56,1298,430
21:46:21,0.58,1326,417
21:46:21,0.60,1338,410
21:46:21,0.72,1328,409
21:46:21,0.75,1290,418
21:46:21,0.78,1267,421
21:46:21,0.82,1163,434
21:46:21,0.85,1117,439
21:46:21,0.88,1062,444
21:46:21,0.89,806,443
21:46:21,0.94,735,434
21:46:21,0.96,524,397
21:46:21,0.97,467,381
21:46:21,0.99,434,372
21:46:21,1.00,402,363
21:46:21,1.15,192,346
21:46:21,1.19,214,327
21:46:21,1.21,294,301
21:46:21,1.22,345,290
21:46:21,1.24,421,285
21:46:21,1.30,515,285
21:46:21,1.34,786,345
21:46:21,1.41,811,366
21:46:22,1.48,811,378
21:46:22,1.57,792,391
21:46:22,1.59,761,399
21:46:22,1.60,720,406
21:46:22,1.63,679,415
21:46:22,1.65,599,421
21:46:22,1.67,587,421
21:46:22,1.68,574,420
21:46:22,1.78,560,422
21:46:22,1.82,548,428
21:46:22,1.90,537,443
21:46:22,1.92,535,453
21:46:22,1.93,528,463
21:46:23,2.97,537,471
21:46:23,2.98,554,472
21:46:23,3.14,576,469
21:46:23,3.16,652,444
21:46:23,3.19,693,424
21:46:23,3.20,754,392
21:46:23,3.22,770,380
21:46:23,3.25,791,366
21:46:23,3.27,804,363
21:46:23,3.28,849,360
21:46:23,3.30,940,364
21:46:23,3.31,1050,396
21:46:23,3.33,1135,418
21:46:23,3.34,1157,421
21:46:24,3.44,1141,438
21:46:24,3.47,1131,447
21:46:24,3.74,1143,447
21:46:24,3.85,1152,436
21:46:24,4.07,1159,428
21:46:25,4.60,1178,416
21:46:25,4.62,1244,391
21:46:25,5.00,1236,407
21:46:25,5.30,1207,416
21:46:26,5.60,1182,392
21:46:26,5.64,1152,385
21:46:26,5.74,1138,379
21:46:26,5.75,1127,368
21:46:26,5.77,1053,331
21:46:26,5.80,993,314
21:46:26,5.83,983,313
21:46:26,5.88,1012,313
21:46:26,5.91,1023,318
21:46:26,5.94,978,337
21:46:26,5.96,838,362
21:46:26,5.97,624,362
21:46:26,5.99,422,345
21:46:26,6.01,298,334
21:46:26,6.02,259,334
21:46:26,6.10,296,333
21:46:26,6.12,393,342
21:46:26,6.15,501,365
21:46:26,6.16,607,397
21:46:26,6.18,639,412
21:46:26,6.27,601,450
21:46:26,6.29,559,460
21:46:26,6.30,504,457
21:46:26,6.32,423,451
21:46:26,6.35,357,440
21:46:26,6.37,329,431
21:46:26,6.41,336,421
21:46:26,6.43,369,408
21:46:27,6.44,410,398
21:46:27,6.46,444,398
21:46:27,6.48,456,398
21:46:27,6.52,476,398
21:46:27,6.54,488,398
21:46:27,6.55,544,417
21:46:27,6.57,561,426
21:46:27,6.60,549,425
21:46:27,6.66,524,422
21:46:27,6.68,220,328
21:46:27,6.76,243,341
21:46:27,6.77,274,354
21:46:27,6.79,288,363
21:46:27,6.88,301,372
21:46:27,6.92,317,393
21:46:27,6.93,341,412
21:46:27,6.95,359,423
21:46:27,6.98,369,426
21:46:27,6.99,379,428
21:46:27,7.01,395,430
21:46:27,7.04,434,443
21:46:27,7.06,507,464
21:46:27,7.09,520,468
21:46:27,7.32,532,470
21:46:27,7.34,605,488
21:46:27,7.36,662,500
21:46:27,7.37,713,509
21:46:27,7.40,758,520
21:46:27,7.43,776,523
21:46:28,7.48,764,527
21:46:28,7.63,778,514
