Time,running_time,x,y
21:46:22,2.01,526,466
21:46:22,2.08,526,466
21:46:22,2.14,526,466
21:46:22,2.22,526,466
21:46:24,4.26,1160,427
21:46:24,4.35,1160,427
21:46:27,7.12,520,468
21:46:27,7.20,520,468
